Strike, Model Price, Market Price, Model vol, Market Vol
0.005546293,0.098123024,0.099246889,0.006927063,0.007807083
0.005862786,0.095364255,0.096566597,0.006863593,0.007762393
0.006179378,0.092610361,0.093897905,0.006797978,0.007717479
0.00649607,0.089861827,0.091241629,0.006730374,0.007672373
0.006812862,0.087121551,0.088598645,0.006662678,0.007627106
0.007129754,0.084392789,0.085969885,0.006596674,0.007581712
0.007446745,0.081677506,0.083356346,0.006532899,0.007536225
0.007763836,0.078978195,0.080759066,0.006472076,0.007490678
0.008081027,0.076296779,0.078179157,0.006414364,0.007445107
0.008398317,0.073635702,0.0756178,0.006360113,0.007399548
0.008715708,0.070995738,0.073076219,0.006308608,0.007354039
0.009033198,0.068377109,0.070555736,0.006258876,0.007308616
0.009350788,0.06578324,0.068057719,0.006211685,0.00726332
0.009668479,0.063216646,0.065583605,0.006167166,0.00721819
0.009986269,0.060679568,0.06313492,0.006125229,0.007173266
0.010304159,0.058176291,0.060713241,0.006086653,0.007128592
0.01062215,0.055708505,0.058320207,0.006050945,0.007084209
0.01094024,0.053278003,0.055957548,0.006017681,0.007040162
0.011258431,0.050884719,0.053627025,0.005985768,0.006996496
0.011576722,0.048530207,0.051330479,0.005954854,0.006953256
0.011895112,0.046221023,0.049069803,0.005926416,0.006910491
0.012213604,0.043953989,0.046846916,0.005898355,0.00686825
0.012532195,0.041731982,0.044663849,0.005870867,0.006826597
0.012850887,0.039559267,0.04252264,0.005844582,0.006785596
0.013169679,0.037439883,0.040425369,0.005819989,0.006745316
0.013488571,0.035375067,0.038374118,0.005796685,0.006705825
0.013807563,0.033370542,0.036370963,0.005775682,0.006667194
0.014126657,0.031429636,0.034417946,0.005757241,0.006629494
0.01444585,0.029550802,0.032517096,0.005740245,0.006592797
0.014765144,0.027737712,0.030670352,0.005725202,0.006557178
0.015084538,0.025989488,0.028879586,0.005711374,0.006522712
0.015404033,0.024303556,0.027146555,0.005697651,0.006489475
0.015723629,0.022683547,0.025472892,0.005684736,0.006457544
0.016043325,0.021132444,0.023860081,0.005673195,0.006426997
0.016363122,0.019649213,0.022309423,0.005662554,0.006397912
0.016683019,0.018233799,0.020822029,0.005652684,0.006370367
0.017003017,0.016887343,0.019398783,0.005643863,0.006344442
0.017323116,0.01561375,0.018040333,0.005637236,0.006320217
0.017643316,0.014413018,0.016747074,0.005632971,0.00629777
0.017963616,0.013282416,0.015519135,0.005630557,0.00627718
0.018284017,0.012220261,0.014356362,0.005629858,0.006258525
0.018604519,0.011226673,0.013258286,0.005631362,0.006241872
0.018925122,0.010298805,0.012224017,0.005634769,0.006227245
0.019245826,0.009432767,0.011252373,0.005639494,0.006214656
0.019566631,0.008628112,0.010341922,0.005646087,0.006204115
0.019887536,0.007885357,0.009491005,0.005655564,0.00619563
0.020208543,0.007197873,0.008697749,0.005666611,0.006189207
0.020529651,0.006563346,0.007960104,0.005679347,0.00618485
0.02085086,0.005975368,0.007275861,0.005692356,0.00618256
0.02117217,0.005435204,0.00664268,0.005707084,0.006182337
0.021493581,0.004940877,0.006058121,0.005723892,0.006184179
0.021815093,0.004488729,0.005519671,0.005742461,0.006188083
0.022136706,0.004076942,0.00502477,0.005763254,0.00619404
0.022458421,0.003701518,0.004570841,0.005785725,0.006202044
0.022780237,0.003363483,0.004155317,0.005811806,0.006212083
0.023102154,0.003058663,0.003775658,0.005840931,0.006224145
0.023424172,0.002783868,0.003429376,0.005872895,0.006238216
0.023746292,0.00253539,0.00311405,0.005907017,0.00625428
0.024068514,0.002310371,0.002827344,0.005942914,0.006272319
0.024390836,0.00210658,0.00256702,0.005980445,0.006292314
0.02471326,0.001922509,0.002330941,0.00601988,0.006314244
0.025035786,0.001757223,0.002117076,0.006061915,0.006338079
0.025358413,0.001607048,0.001923477,0.006104964,0.006363759
0.025681142,0.001472271,0.001748317,0.006150509,0.006391215
0.026003972,0.001351749,0.001589906,0.006198926,0.006420381
0.026326904,0.00124444,0.001446679,0.006250652,0.006451188
0.026649937,0.00114742,0.0013172,0.006304017,0.006483566
0.026973072,0.001060231,0.001200151,0.00635965,0.006517449
0.027296309,0.000982064,0.00109433,0.006417785,0.006552768
0.027619648,0.000911236,0.000998638,0.006477438,0.006589457
0.027943088,0.00084686,0.000912081,0.006538363,0.006627448
0.02826663,0.000787667,0.000833754,0.006599588,0.006666675
0.028590274,0.000734119,0.00076284,0.00666254,0.006707073
0.02891402,0.00068519,0.000698601,0.006726437,0.006748579
0.029237868,0.000639764,0.000640369,0.006790065,0.006791128
0.029561818,0.000598009,0.000587545,0.00685424,0.006834659
0.029885869,0.000560589,0.00053959,0.0069209,0.006879111
0.030210023,0.000526562,0.000496018,0.006989024,0.006924424
0.030534279,0.000495636,0.000456393,0.007058677,0.00697054
0.030858637,0.000467318,0.000420324,0.007129407,0.0070174
0.031183096,0.000441392,0.000387461,0.007201265,0.00706495
0.031507658,0.000417049,0.000357489,0.007272742,0.007113138
0.031832322,0.000394938,0.000330133,0.007345872,0.007161931
0.032157089,0.000374614,0.000305146,0.007419995,0.007211302
0.032481957,0.000356043,0.000282305,0.007495471,0.007261224
0.032806928,0.000338818,0.000261408,0.007571531,0.007311669
0.033132001,0.000322423,0.000242275,0.007646861,0.007362611
0.033457176,0.000306682,0.000224742,0.007721024,0.007414026
0.033782454,0.000291777,0.000208662,0.007794753,0.007465888
0.034107834,0.000278021,0.0001939,0.007869395,0.007518173
0.034433317,0.00026491,0.000180337,0.00794337,0.007570857
0.034758902,0.000252585,0.000167866,0.008017393,0.007623917
0.035084589,0.000240835,0.000156386,0.008090798,0.007677331
0.035410379,0.000229692,0.000145811,0.008163863,0.007731077
0.035736272,0.000219026,0.00013606,0.008236151,0.007785133
0.036062267,0.00020908,0.000127061,0.008308951,0.007839478
0.036388364,0.000199852,0.000118749,0.008382525,0.007894093
0.036714565,0.00019086,0.000111063,0.008454632,0.007948958
0.037040868,0.000182234,0.000103951,0.008525975,0.008004052
0.037367273,0.000174125,9.74E-05,0.008597513,0.008059358
0.037693782,0.000166437,9.13E-05,0.008668893,0.008114858
0.038020393,0.00015908,8.56E-05,0.008739701,0.008170533
0.038347107,0.00015193,8.03E-05,0.008809223,0.008226367
0.038673924,0.000144975,7.54E-05,0.008877395,0.008282341
0.039000843,0.000138306,7.09E-05,0.008944853,0.008338441
0.039327866,0.000131999,6.67E-05,0.009012261,0.00839465
0.039654991,0.000125884,6.27E-05,0.009078461,0.008450953
0.03998222,0.000120075,5.90E-05,0.009144403,0.008507334
0.040309551,0.000114817,5.56E-05,0.009212321,0.008563779
0.040636986,0.000109955,5.24E-05,0.009281285,0.008620273
0.040964523,0.000105251,4.94E-05,0.009349372,0.008676803
0.041292164,0.000100612,4.66E-05,0.009415704,0.008733355
0.041619908,9.60E-05,4.40E-05,0.009480046,0.008789915
0.041947755,9.17E-05,4.15E-05,0.009544909,0.00884647
0.042275705,8.76E-05,3.92E-05,0.009609444,0.008903009
0.042603758,8.38E-05,3.70E-05,0.009674677,0.008959518
0.042931915,8.02E-05,3.50E-05,0.009739488,0.009015987
0.043260175,7.67E-05,3.31E-05,0.009804132,0.009072402
0.043588538,7.34E-05,3.13E-05,0.00986921,0.009128753
0.043917004,7.03E-05,2.96E-05,0.009934195,0.009185029
0.044245574,6.74E-05,2.80E-05,0.009999128,0.009241218
0.044574248,6.44E-05,2.65E-05,0.010062502,0.009297311
0.044903024,6.16E-05,2.51E-05,0.010124396,0.009353296
0.045231905,5.89E-05,2.38E-05,0.010187084,0.009409165
0.045560888,5.63E-05,2.26E-05,0.010248307,0.009464906
0.045889976,5.37E-05,2.14E-05,0.010307489,0.009520511
0.046219167,5.12E-05,2.03E-05,0.010365391,0.009575969
0.046548461,4.88E-05,1.92E-05,0.010422988,0.009631273
0.046877859,4.65E-05,1.82E-05,0.010479969,0.009686412
0.047207361,4.42E-05,1.73E-05,0.010535758,0.009741378
0.047536967,4.20E-05,1.64E-05,0.010590418,0.009796162
0.047866676,3.99E-05,1.55E-05,0.01064241,0.009850756
0.048196489,3.79E-05,1.47E-05,0.010696978,0.009905152
0.048526406,3.62E-05,1.40E-05,0.010754091,0.009959341
0.048856427,3.45E-05,1.33E-05,0.010810847,0.010013317
0.049186551,3.30E-05,1.26E-05,0.010867718,0.010067069
0.04951678,3.15E-05,1.19E-05,0.010924219,0.010120593
0.049847112,3.01E-05,1.13E-05,0.010982117,0.010173879
0.050177549,2.88E-05,1.07E-05,0.01103985,0.01022692
0.050508089,2.76E-05,1.02E-05,0.011098717,0.01027971
0.050838733,2.64E-05,9.67E-06,0.011157274,0.010332241
